,name,homepage,scholar_id,affiliation,citations,h-index
0,A Min Tjoa,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,TU Wien,6069.0,40.0
1,A. Akbari Azirani,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,IUST,1326.0,18.0
2,A. Aldo Faisal,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,Imperial College London,6780.0,31.0
3,A. Antony Franklin,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,IIT Hyderabad,,
4,A. B. M. Alim Al Islam,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,BUET,562.0,11.0
5,A. B. Siddique,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,University of Kentucky,78.0,6.0
6,A. Bhaskar,https://www.bits-pilani.ac.in/goa/abaskar/profile,WNrQSakAAAAJ,BITS Pilani-Goa,,
7,A. C. Cem Say,https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,Boğaziçi University,835.0,15.0
8,A. C. W. Finkelstein,https://finkelstein.uk,n8xuCVkAAAAJ,City University of London,16019.0,62.0
9,A. Cüneyd Tantug,http://tantug.com,TTawdWMAAAAJ,Istanbul Technical University,517.0,13.0
10,A. D. Fekete,https://sydney.edu.au/engineering/it/~fekete,Hs9cVRgAAAAJ,University of Sydney,7066.0,44.0
11,A. David Marshall,https://www.cardiff.ac.uk/people/view/118142-marshall-david,7HJzGQYAAAAJ,Cardiff University,6561.0,39.0
12,A. E. Eiben,http://www.cs.vu.nl/~gusz,NMuDAe0AAAAJ,VU Amsterdam,23349.0,58.0
13,A. Ercüment Çiçek,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,Bilkent University,5887.0,19.0
14,A. J. Field,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,Imperial College London,3787.0,15.0
15,A. J. H. Hidders,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,Birkbeck University of London,1901.0,25.0
16,A. J. Jansen,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,CWI,,
17,A. J. Kfoury,http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,Boston University,2463.0,25.0
18,A. J. Ko,http://faculty.washington.edu/ajko,otmdDLoAAAAJ,University of Washington,9465.0,46.0
19,A. Jefferson Offutt,http://cs.gmu.edu/~offutt,NOSCHOLARPAGE,George Mason University,,
20,A. John Power,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,University of Bath,22147.0,65.0
21,A. K. McIver,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,Macquarie University,3757.0,31.0
22,A. M. A. Hemmatyar,http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,Sharif University of Technology,,
23,A. Murat Ozbayoglu,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,TOBB ETÜ,2805.0,26.0
24,A. Neil Arnason,http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,University of Manitoba,,
25,A. P. Sarath Chandar,http://sarathchandar.in,yxWtZLAAAAAJ,Polytechnique Montreal,2552.0,18.0
26,A. P. Vinod,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,Nanyang Technological University,,
27,A. P. Willem Böhm,http://www.cs.colostate.edu/~bohm,NOSCHOLARPAGE,Colorado State University,,
28,A. Pavan,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,Iowa State University,1119.0,17.0
29,A. Prasad Sistla,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,University of Illinois at Chicago,,
30,A. Rau-Chaplin,https://www.cs.dal.ca/~arc,NOSCHOLARPAGE,Dalhousie University,,
31,A. Robert Calderbank,https://ece.duke.edu/faculty/robert-calderbank,NOSCHOLARPAGE,Duke University,,
32,A. Rupam Mahmood,https://armahmood.github.io,YwB8XM4AAAAJ,University of Alberta,897.0,14.0
33,A. S. M. Hoque,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,BUET,703.0,14.0
34,A. S. Madhukumar,http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,Nanyang Technological University,,
35,A. Selcuk Uluagac,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,Florida International University,4636.0,31.0
36,A. Sima Etaner-Uyar,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,Istanbul Technical University,1269.0,19.0
37,A. T. Burrell,https://cs.okstate.edu/~tburrell,NOSCHOLARPAGE,Oklahoma State University,,
38,A. T. Chamillard,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,UCCS,,
39,A. Taylan Cemgil,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,Boğaziçi University,4759.0,33.0
40,A. Th. Schreiber,http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,VU Amsterdam,18184.0,55.0
41,A. Udaya Shankar,https://www.cs.umd.edu/users/shankar,NOSCHOLARPAGE,University of Maryland - College Park,,
42,A. V. Sreejith,www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,IIT Goa,44.0,5.0
43,A. V. Subramanyam,http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ,IIIT Delhi,1455.0,15.0
44,A. W. Roscoe,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,University of Oxford,16122.0,55.0
45,A. Yurdakul,https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,Boğaziçi University,825.0,14.0
46,Aaditeshwar Seth,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,IIT Delhi,1925.0,19.0
47,Aamena Al Shamsi,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,Masdar Institute,413.0,9.0
